entity:ID,name,:LABEL
e0,nan,wenwubenti
e1,钧窑天蓝釉三足炉,wenwubenti
e2,矾红彩云龙纹盘,wenwubenti
e3,青花云龙纹碗,wenwubenti
e4,萧山窑,wenwubenti
e5,建阳窑,wenwubenti
e6,青花蕃莲纹卧足碗,wenwubenti
e7,甜白釉暗花缠枝莲托八吉祥纹碗,wenwubenti
e8,粉彩婴龙灯图瓶,wenwubenti
e9,龙山文化黑陶单把杯,wenwubenti
e10,钧窑月白釉瓶,wenwubenti
e11,宜兴窑紫砂黑漆描金彩绘方壶,wenwubenti
e12,白釉青花加绿彩云龙纹盘,wenwubenti
e13,彩绘陶,wenwubenti
e14,广彩花鸟纹盘,wenwubenti
e15,定窑白釉孩儿枕,wenwubenti
e16,马家窑文化彩陶蛙纹壶,wenwubenti
e17,花瓷双系罐,wenwubenti
e18,登封窑珍珠地划花双虎纹瓶,wenwubenti
e19,胭脂紫轧道珐琅彩直颈瓶,wenwubenti
e20,黄地粉彩丛竹纹盅,wenwubenti
e21,蓝料彩山水图碗,wenwubenti
e22,珐琅彩山石花卉纹小瓶,wenwubenti
e23,仿木纹釉碗,wenwubenti
e24,釉里红,wenwubenti
e25,雍正款仿钧窑变釉海棠式花盆,wenwubenti
e26,青花梅雀纹瓶,wenwubenti
e27,青釉羊,wenwubenti
e28,粉彩开光四季山水盖罐,wenwubenti
e29,宜兴窑塑贴莲花纹梅瓶,wenwubenti
e30,广窑楸叶式洗,wenwubenti
e31,红釉印花云龙纹高足碗,wenwubenti
e32,青花鱼藻纹蒜头瓶,wenwubenti
e33,青釉刻花单柄壶,wenwubenti
e34,宜兴窑紫砂彩绘花鸟纹壁瓶,wenwubenti
e35,青釉印花双系罐,wenwubenti
e36,定窑白釉花口碗,wenwubenti
e37,宜兴窑紫砂莲心铭花鸟六方茶叶罐,wenwubenti
e38,粉彩花卉纹碟,wenwubenti
e39,结晶釉,wenwubenti
e40,郎窑红釉观音尊,wenwubenti
e41,黄地粉彩梅花春燕纹碟,wenwubenti
e42,青釉狗圈,wenwubenti
e43,窑变双耳菊瓣尊,wenwubenti
e44,青花松竹梅纹碗,wenwubenti
e45,斗彩海水异兽纹罐,wenwubenti
e46,龙泉窑青釉凤耳瓶,wenwubenti
e47,青花折枝瑞果纹梅瓶,wenwubenti
e48,定窑白釉刻乾隆御制诗印花蟠螭缠枝花卉纹洗,wenwubenti
e49,青花缠枝莲纹压手杯,wenwubenti
e50,五彩龙穿莲池纹绣墩,wenwubenti
e51,广窑荷叶式洗,wenwubenti
e52,天蓝釉兽面纹螭耳尊,wenwubenti
e53,郎窑红梅瓶,wenwubenti
e54,斗彩,wenwubenti
e55,定窑白釉刻莲花纹折腰碗,wenwubenti
e56,斗彩三秋杯,wenwubenti
e57,绿釉陶狗,wenwubenti
e58,五彩加金鹭莲纹尊,wenwubenti
e59,磁州窑白地黑花诗文如意头形枕,wenwubenti
e60,宜兴窑桃式水注,wenwubenti
e61,青釉堆塑谷仓罐,wenwubenti
e62,明,wenwubenti
e63,越窑青釉壶,wenwubenti
e64,德清窑黑釉鸡头壶,wenwubenti
e65,宜兴窑邵邦祐款紫砂珐琅彩壶,wenwubenti
e66,定窑白釉刻花花卉纹唾盂,wenwubenti
e67,黄地粉彩芭蕉花卉纹圆花盆盆托,wenwubenti
e68,青花缠枝莲八宝纹三足炉,wenwubenti
e69,青釉瓷匜,wenwubenti
e70,素三彩海蟾纹三足洗,wenwubenti
e71,青花五彩,wenwubenti
e72,东青釉描金天鸡花浇,wenwubenti
e73,珐琅彩雉鸡牡丹纹碗,wenwubenti
